2023-05-03 07:11:41 startup archives unpack
2023-05-03 07:11:41 install netbase:all <none> 6.3
2023-05-03 07:11:41 status half-installed netbase:all 6.3
2023-05-03 07:11:41 status unpacked netbase:all 6.3
2023-05-03 07:11:41 install openssl:amd64 <none> 1.1.1n-0+deb11u4
2023-05-03 07:11:41 status half-installed openssl:amd64 1.1.1n-0+deb11u4
2023-05-03 07:11:41 status unpacked openssl:amd64 1.1.1n-0+deb11u4
2023-05-03 07:11:42 install ca-certificates:all <none> 20210119
2023-05-03 07:11:42 status half-installed ca-certificates:all 20210119
2023-05-03 07:11:42 status unpacked ca-certificates:all 20210119
2023-05-03 07:11:42 startup packages configure
2023-05-03 07:11:42 configure netbase:all 6.3 <none>
2023-05-03 07:11:42 status unpacked netbase:all 6.3
2023-05-03 07:11:42 status half-configured netbase:all 6.3
2023-05-03 07:11:42 status installed netbase:all 6.3
2023-05-03 07:11:42 configure openssl:amd64 1.1.1n-0+deb11u4 <none>
2023-05-03 07:11:42 status unpacked openssl:amd64 1.1.1n-0+deb11u4
2023-05-03 07:11:42 status half-configured openssl:amd64 1.1.1n-0+deb11u4
2023-05-03 07:11:42 status installed openssl:amd64 1.1.1n-0+deb11u4
2023-05-03 07:11:42 configure ca-certificates:all 20210119 <none>
2023-05-03 07:11:42 status unpacked ca-certificates:all 20210119
2023-05-03 07:11:42 status half-configured ca-certificates:all 20210119
2023-05-03 07:11:43 status installed ca-certificates:all 20210119
2023-05-03 07:11:43 status triggers-pending ca-certificates:all 20210119
2023-05-03 07:11:43 trigproc ca-certificates:all 20210119 <none>
2023-05-03 07:11:43 status half-configured ca-certificates:all 20210119
2023-05-03 07:11:43 status installed ca-certificates:all 20210119
2023-05-03 09:17:36 startup archives unpack
2023-05-03 09:17:36 install perl-modules-5.32:all <none> 5.32.1-4+deb11u2
2023-05-03 09:17:36 status half-installed perl-modules-5.32:all 5.32.1-4+deb11u2
2023-05-03 09:17:36 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2023-05-03 09:17:36 install libgdbm6:amd64 <none> 1.19-2
2023-05-03 09:17:36 status triggers-pending libc-bin:amd64 2.31-13+deb11u6
2023-05-03 09:17:36 status half-installed libgdbm6:amd64 1.19-2
2023-05-03 09:17:36 status unpacked libgdbm6:amd64 1.19-2
2023-05-03 09:17:36 install libgdbm-compat4:amd64 <none> 1.19-2
2023-05-03 09:17:36 status half-installed libgdbm-compat4:amd64 1.19-2
2023-05-03 09:17:36 status unpacked libgdbm-compat4:amd64 1.19-2
2023-05-03 09:17:36 install libperl5.32:amd64 <none> 5.32.1-4+deb11u2
2023-05-03 09:17:36 status half-installed libperl5.32:amd64 5.32.1-4+deb11u2
2023-05-03 09:17:37 status unpacked libperl5.32:amd64 5.32.1-4+deb11u2
2023-05-03 09:17:37 install perl:amd64 <none> 5.32.1-4+deb11u2
2023-05-03 09:17:37 status half-installed perl:amd64 5.32.1-4+deb11u2
2023-05-03 09:17:37 status unpacked perl:amd64 5.32.1-4+deb11u2
2023-05-03 09:17:37 install readline-common:all <none> 8.1-1
2023-05-03 09:17:37 status half-installed readline-common:all 8.1-1
2023-05-03 09:17:37 status unpacked readline-common:all 8.1-1
2023-05-03 09:17:37 install libreadline8:amd64 <none> 8.1-1
2023-05-03 09:17:37 status half-installed libreadline8:amd64 8.1-1
2023-05-03 09:17:37 status unpacked libreadline8:amd64 8.1-1
2023-05-03 09:17:37 install sensible-utils:all <none> 0.0.14
2023-05-03 09:17:37 status half-installed sensible-utils:all 0.0.14
2023-05-03 09:17:37 status unpacked sensible-utils:all 0.0.14
2023-05-03 09:17:37 install bzip2:amd64 <none> 1.0.8-4
2023-05-03 09:17:37 status half-installed bzip2:amd64 1.0.8-4
2023-05-03 09:17:37 status unpacked bzip2:amd64 1.0.8-4
2023-05-03 09:17:37 install ucf:all <none> 3.0043
2023-05-03 09:17:37 status half-installed ucf:all 3.0043
2023-05-03 09:17:37 status unpacked ucf:all 3.0043
2023-05-03 09:17:37 install libpsl5:amd64 <none> 0.21.0-1.2
2023-05-03 09:17:37 status half-installed libpsl5:amd64 0.21.0-1.2
2023-05-03 09:17:37 status unpacked libpsl5:amd64 0.21.0-1.2
2023-05-03 09:17:37 install wget:amd64 <none> 1.21-1+deb11u1
2023-05-03 09:17:37 status half-installed wget:amd64 1.21-1+deb11u1
2023-05-03 09:17:37 status unpacked wget:amd64 1.21-1+deb11u1
2023-05-03 09:17:37 install xz-utils:amd64 <none> 5.2.5-2.1~deb11u1
2023-05-03 09:17:37 status half-installed xz-utils:amd64 5.2.5-2.1~deb11u1
2023-05-03 09:17:37 status unpacked xz-utils:amd64 5.2.5-2.1~deb11u1
2023-05-03 09:17:37 install binutils-common:amd64 <none> 2.35.2-2
2023-05-03 09:17:37 status half-installed binutils-common:amd64 2.35.2-2
2023-05-03 09:17:37 status unpacked binutils-common:amd64 2.35.2-2
2023-05-03 09:17:37 install libbinutils:amd64 <none> 2.35.2-2
2023-05-03 09:17:37 status half-installed libbinutils:amd64 2.35.2-2
2023-05-03 09:17:38 status unpacked libbinutils:amd64 2.35.2-2
2023-05-03 09:17:38 install libctf-nobfd0:amd64 <none> 2.35.2-2
2023-05-03 09:17:38 status half-installed libctf-nobfd0:amd64 2.35.2-2
2023-05-03 09:17:38 status unpacked libctf-nobfd0:amd64 2.35.2-2
2023-05-03 09:17:38 install libctf0:amd64 <none> 2.35.2-2
2023-05-03 09:17:38 status half-installed libctf0:amd64 2.35.2-2
2023-05-03 09:17:38 status unpacked libctf0:amd64 2.35.2-2
2023-05-03 09:17:38 install binutils-x86-64-linux-gnu:amd64 <none> 2.35.2-2
2023-05-03 09:17:38 status half-installed binutils-x86-64-linux-gnu:amd64 2.35.2-2
2023-05-03 09:17:38 status unpacked binutils-x86-64-linux-gnu:amd64 2.35.2-2
2023-05-03 09:17:38 install binutils:amd64 <none> 2.35.2-2
2023-05-03 09:17:38 status half-installed binutils:amd64 2.35.2-2
2023-05-03 09:17:38 status unpacked binutils:amd64 2.35.2-2
2023-05-03 09:17:38 install libisl23:amd64 <none> 0.23-1
2023-05-03 09:17:38 status half-installed libisl23:amd64 0.23-1
2023-05-03 09:17:38 status unpacked libisl23:amd64 0.23-1
2023-05-03 09:17:38 install libmpfr6:amd64 <none> 4.1.0-3
2023-05-03 09:17:38 status half-installed libmpfr6:amd64 4.1.0-3
2023-05-03 09:17:38 status unpacked libmpfr6:amd64 4.1.0-3
2023-05-03 09:17:38 install libmpc3:amd64 <none> 1.2.0-1
2023-05-03 09:17:38 status half-installed libmpc3:amd64 1.2.0-1
2023-05-03 09:17:38 status unpacked libmpc3:amd64 1.2.0-1
2023-05-03 09:17:38 install cpp-10:amd64 <none> 10.2.1-6
2023-05-03 09:17:38 status half-installed cpp-10:amd64 10.2.1-6
2023-05-03 09:17:39 status unpacked cpp-10:amd64 10.2.1-6
2023-05-03 09:17:39 install cpp:amd64 <none> 4:10.2.1-1
2023-05-03 09:17:39 status half-installed cpp:amd64 4:10.2.1-1
2023-05-03 09:17:39 status unpacked cpp:amd64 4:10.2.1-1
2023-05-03 09:17:39 install libassuan0:amd64 <none> 2.5.3-7.1
2023-05-03 09:17:39 status half-installed libassuan0:amd64 2.5.3-7.1
2023-05-03 09:17:39 status unpacked libassuan0:amd64 2.5.3-7.1
2023-05-03 09:17:39 install gpgconf:amd64 <none> 2.2.27-2+deb11u2
